tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
93.00;28706217_0;94.10;7.71;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;71.00;wu_os_to_sl.0;0;484.95;0.98;0.00;21.06;car;;1;11.00
102.00;23156030#6_0;109.07;9.73;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;92.00;wu_os_to_od.0;0;865.51;0.94;0.00;8.79;car;;0;0.00
103.00;45494495_0;58.90;11.53;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;93.00;wu_od_to_os.0;0;969.96;1.06;0.00;9.80;car;;0;0.00
140.00;28716808#1_0;754.74;10.05;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;130.00;wu_as_to_kl.0;0;1207.92;0.93;0.00;11.87;car;;0;0.00
142.00;41899283#1_0;148.70;11.38;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;133.00;wu_ba_to_as.0;0;1430.78;1.07;0.00;12.22;car;;0;0.00
142.00;230845886_0;633.12;11.28;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;129.00;wu_as_to_ba.0;0;1356.50;1.11;0.00;18.69;car;;0;0.00
144.00;23156030#6_0;109.07;12.55;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;88.00;wu_os_to_od.1;0;865.51;1.18;0.00;21.70;car;;1;9.00
146.00;972103805_0;116.86;12.42;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;132.00;wu_ns_to_ko.0;0;1398.55;1.18;0.00;25.06;car;;1;3.00
146.00;45494495_0;58.90;10.43;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;100.00;wu_od_to_os.1;0;969.96;0.95;0.00;7.89;car;;0;0.00
147.00;230845886_0;633.12;11.35;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;120.00;wu_as_to_ba.1;0;1356.50;1.10;0.00;8.87;car;;0;0.00
151.00;972103805_0;116.86;13.51;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;107.00;wu_as_to_ko.0;0;1102.39;1.24;0.00;26.24;car;;1;9.00
159.00;45494495_0;58.90;10.51;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;101.00;wu_od_to_os.2;0;969.96;0.95;0.00;8.52;car;;0;0.00
177.00;45494495_0;58.90;10.58;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;174.00;wu_as_to_os.0;0;1689.77;0.97;0.00;16.75;car;;0;0.00
190.00;23527526_0;253.75;10.59;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;178.00;wu_ba_to_gj.0;0;1755.68;1.03;0.00;23.02;car;;0;0.00
190.00;230845886_0;633.12;13.43;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;110.00;wu_as_to_ba.2;0;1356.50;1.21;0.00;8.49;car;;0;0.00
208.00;45494495_0;58.90;11.34;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;97.00;wu_od_to_os.4;0;969.96;1.05;0.00;13.32;car;;0;0.00
216.00;41899283#1_0;148.70;11.36;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;191.00;wu_os_to_as.1;0;1746.47;1.11;0.00;48.34;car;;1;4.00
217.00;45494495_0;58.90;9.44;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;113.00;wu_od_to_os.3;0;969.96;0.85;0.00;9.95;car;;0;0.00
219.00;23142338#2_0;290.21;11.48;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;191.00;wu_od_to_ns.0;0;1928.29;1.06;0.00;15.78;car;;0;0.00
221.00;230845886_0;633.12;11.51;1.00;0.21;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.0;220.00;wu_od_to_ba.0;0;2382.14;1.06;0.00;16.62;car;;0;0.00
224.00;972103805_0;116.86;11.43;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;158.00;wu_ns_to_ko.1;0;1398.55;1.07;0.00;39.49;car;;2;9.00
225.00;23527526_0;253.75;11.45;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;220.00;wu_ns_to_gj.0;0;2084.96;1.06;0.00;41.60;car;;2;18.00
