tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_od_to_os.0;10.00;803785575#0_0;5.10;0.00;2.62;101.00;45494495_0;58.90;11.70;91.00;969.96;0.00;0;0.00;9.60;0;tripinfo_wu_od_to_os.0;car;1.09;
wu_os_to_sl.0;22.00;-45494495_0;5.10;0.00;3.61;125.00;28706217_0;94.10;8.81;103.00;484.95;40.00;1;0.00;57.36;0;tripinfo_wu_os_to_sl.0;car;1.09;
wu_ba_to_as.0;9.00;-230845886_0;5.10;0.00;0.19;126.00;41899283#1_0;148.70;13.12;117.00;1430.78;0.00;0;0.00;12.11;0;tripinfo_wu_ba_to_as.0;car;1.24;
wu_od_to_os.1;46.00;803785575#0_0;5.10;0.00;4.45;137.00;45494495_0;58.90;11.07;91.00;969.96;0.00;0;0.00;10.24;0;tripinfo_wu_od_to_os.1;car;1.09;
wu_as_to_kl.0;10.00;23687583_0;5.10;0.00;1.45;143.00;28716808#1_0;754.74;10.58;133.00;1207.92;4.00;1;0.00;19.07;0;tripinfo_wu_as_to_kl.0;car;0.96;
wu_as_to_ko.0;44.00;23687583_0;5.10;0.00;2.41;146.00;972103805_0;116.86;11.80;102.00;1102.39;0.00;0;0.00;11.05;0;tripinfo_wu_as_to_ko.0;car;1.10;
wu_od_to_os.2;58.00;803785575#0_0;5.10;0.00;0.15;147.00;45494495_0;58.90;12.17;89.00;969.96;0.00;0;0.00;12.21;0;tripinfo_wu_od_to_os.2;car;1.14;
wu_os_to_od.0;10.00;-45494495_0;5.10;0.00;0.26;148.00;23156030#6_0;109.07;10.81;138.00;865.51;53.00;1;0.00;66.10;0;tripinfo_wu_os_to_od.0;car;1.09;
wu_as_to_ba.0;13.00;23687583_0;5.10;0.00;0.07;151.00;230845886_0;633.12;11.72;138.00;1356.50;3.00;1;0.00;23.20;0;tripinfo_wu_as_to_ba.0;car;1.07;
wu_as_to_ba.1;27.00;23687583_0;5.10;0.00;0.49;153.00;230845886_0;633.12;11.13;126.00;1356.50;0.00;0;0.00;12.02;0;tripinfo_wu_as_to_ba.1;car;1.08;
