tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
90.00;23156030#6_0;109.07;10.65;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;80.00;wu_os_to_od.0;0;865.51;1.07;0.00;6.72;car;;0;0.00
94.00;28706217_0;94.10;8.11;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;72.00;wu_os_to_sl.0;0;484.95;0.98;0.00;21.39;car;;1;10.00
122.00;45494495_0;58.90;8.42;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;112.00;wu_od_to_os.0;0;969.96;0.87;0.00;10.44;car;;0;0.00
132.00;28716808#1_0;754.74;10.91;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;122.00;wu_as_to_kl.0;0;1207.92;1.06;0.00;19.30;car;;1;4.00
147.00;45494495_0;58.90;9.44;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;101.00;wu_od_to_os.1;0;969.96;0.95;0.00;8.66;car;;0;0.00
152.00;23156030#6_0;109.07;10.10;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;96.00;wu_os_to_od.1;0;865.51;1.02;0.00;19.67;car;;1;7.00
153.00;230845886_0;633.12;10.54;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;140.00;wu_as_to_ba.0;0;1356.50;1.01;0.00;17.99;car;;1;3.00
153.00;972103805_0;116.86;12.06;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;139.00;wu_ns_to_ko.0;0;1398.55;1.09;0.00;23.34;car;;0;0.00
154.00;230845886_0;633.12;11.26;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;127.00;wu_as_to_ba.1;0;1356.50;1.07;0.00;12.65;car;;0;0.00
162.00;45494495_0;58.90;9.62;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;104.00;wu_od_to_os.2;0;969.96;0.92;0.00;8.96;car;;0;0.00
166.00;972103805_0;116.86;9.45;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;122.00;wu_as_to_ko.0;0;1102.39;0.95;0.00;16.82;car;;1;3.00
177.00;45494495_0;58.90;10.11;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;174.00;wu_as_to_os.0;0;1689.77;0.95;0.00;12.58;car;;0;0.00
188.00;41899283#1_0;148.70;8.51;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;179.00;wu_ba_to_as.0;0;1430.78;0.80;0.00;17.20;car;;0;0.00
190.00;23527526_0;253.75;12.14;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;178.00;wu_ba_to_gj.0;0;1755.68;1.14;0.00;38.68;car;;0;0.00
193.00;45494495_0;58.90;10.78;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;89.00;wu_od_to_os.3;0;969.96;1.09;0.00;8.12;car;;0;0.00
195.00;45494495_0;58.90;12.29;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;84.00;wu_od_to_os.4;0;969.96;1.22;0.00;11.76;car;;0;0.00
201.00;41899283#1_0;148.70;10.48;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;182.00;wu_os_to_as.0;0;1746.47;1.01;0.00;24.83;car;;1;6.00
209.00;41899283#1_0;148.70;9.95;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;184.00;wu_os_to_as.1;0;1746.47;0.95;0.00;17.26;car;;0;0.00
214.00;972103805_0;116.86;11.31;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;148.00;wu_ns_to_ko.1;0;1398.55;1.02;0.00;23.97;car;;1;4.00
217.00;45494495_0;58.90;9.91;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;176.00;wu_as_to_os.1;0;1689.77;0.98;0.00;20.05;car;;1;2.00
228.00;230845886_0;633.12;9.63;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;148.00;wu_as_to_ba.2;0;1356.50;0.91;0.00;12.38;car;;0;0.00
229.00;972103805_0;116.86;13.23;95.00;0.16;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.2;134.00;wu_ns_to_ko.2;0;1398.55;1.20;0.00;28.64;car;;1;12.00
232.00;23527526_0;253.75;10.18;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;227.00;wu_ns_to_gj.0;0;2084.96;0.96;0.00;29.75;car;;1;4.00
239.00;23142338#2_0;290.21;10.42;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;232.00;wu_as_to_ns.0;0;1995.73;0.94;0.00;38.55;car;;2;7.00
243.00;45494495_0;58.90;10.59;89.00;0.40;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.0;154.00;wu_ba_to_os.0;0;1647.96;1.05;0.00;12.49;car;;0;0.00
245.00;972103805_0;116.86;11.14;4.00;2.17;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ko.0;241.00;wu_od_to_ko.0;0;2307.67;1.09;0.00;39.78;car;;2;10.00
249.00;230845886_0;633.12;9.58;1.00;0.21;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.0;248.00;wu_od_to_ba.0;0;2382.14;0.94;0.00;18.72;car;;0;0.00
251.00;230845886_0;633.12;12.21;14.00;0.44;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.1;237.00;wu_od_to_ba.1;0;2382.14;1.10;0.00;41.54;car;;0;0.00
254.00;972103805_0;116.86;10.47;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;123.00;wu_as_to_ko.1;0;1102.39;1.06;0.00;28.64;car;;1;14.00
255.00;45494495_0;58.90;10.59;89.00;0.55;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.2;166.00;wu_as_to_os.2;0;1689.77;1.00;0.00;13.48;car;;0;0.00
257.00;972103805_0;116.86;10.30;32.00;0.31;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_ko.0;225.00;wu_ba_to_ko.0;0;2114.29;1.01;0.00;34.26;car;;1;2.00
264.00;28706217_0;94.10;8.76;40.00;2.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_sl.0;224.00;wu_ba_to_sl.0;0;1934.94;1.13;0.00;64.29;car;;4;25.00
265.00;23142338#2_0;290.21;10.61;38.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.1;227.00;wu_as_to_ns.1;0;1995.73;1.00;0.00;45.54;car;;2;18.00
268.00;23156030#6_0;109.07;11.69;37.00;0.14;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_od.0;231.00;wu_ba_to_od.0;0;2315.50;1.08;0.00;37.26;car;;1;14.00
273.00;28716808#1_0;754.74;10.99;7.00;3.16;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_kl.0;266.00;wu_od_to_kl.0;0;2678.40;1.01;0.00;26.98;car;;0;0.00
274.00;41899283#1_0;148.70;10.15;116.00;0.33;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.1;158.00;wu_ba_to_as.1;0;1430.78;0.96;0.00;22.09;car;;0;0.00
276.00;230845886_0;633.12;11.16;153.00;2.60;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.3;123.00;wu_as_to_ba.3;0;1356.50;1.08;0.00;9.38;car;;0;0.00
280.00;23156305_0;1264.14;9.63;111.00;0.90;23687583_0;5.10;0.00;tripinfo_wu_as_to_gg.0;169.00;wu_as_to_gg.0;0;1600.87;0.93;0.00;13.19;car;;0;0.00
282.00;23142338#2_0;290.21;9.62;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;254.00;wu_od_to_ns.0;0;1928.29;0.87;0.00;42.31;car;;2;13.00
282.00;23527526_0;253.75;7.94;198.00;8.66;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.0;84.00;wu_as_to_gj.0;0;649.06;0.79;0.00;8.89;car;;0;0.00
283.00;23156390_0;1121.44;10.90;29.00;3.33;-45494495_0;5.10;0.00;tripinfo_wu_os_to_br.0;254.00;wu_os_to_br.0;0;2513.69;1.01;0.00;27.77;car;;0;0.00
284.00;23142338#2_0;290.21;11.75;53.00;0.64;-45494495_0;5.10;0.00;tripinfo_wu_os_to_ns.0;231.00;wu_os_to_ns.0;0;1665.91;1.10;0.00;83.31;car;;3;17.00
284.00;23527526_0;253.75;10.43;201.00;9.76;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.1;83.00;wu_as_to_gj.1;0;649.06;0.95;0.00;20.38;car;;0;0.00
286.00;23142338#2_0;290.21;11.28;64.00;0.42;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.1;222.00;wu_od_to_ns.1;0;1928.29;1.03;0.00;41.55;car;;1;4.00
287.00;972103805_0;116.86;10.91;171.00;0.44;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.2;116.00;wu_as_to_ko.2;0;1102.39;0.98;0.00;14.35;car;;1;2.00
288.00;972103805_0;116.86;11.61;174.00;2.82;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.3;114.00;wu_as_to_ko.3;0;1102.39;1.08;0.00;22.41;car;;0;0.00
290.00;23156305_0;1264.14;11.24;43.00;3.70;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gg.0;247.00;wu_ba_to_gg.0;0;2718.65;1.09;0.00;20.76;car;;0;0.00
291.00;23527526_0;253.75;9.88;53.00;2.40;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.1;238.00;wu_ns_to_gj.1;0;2084.96;0.98;0.00;45.34;car;;2;10.00
296.00;28706217_0;94.10;6.91;202.00;0.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_sl.0;94.00;wu_od_to_sl.0;0;747.33;0.86;0.00;9.20;car;;0;0.00
297.00;972103805_0;116.86;10.34;146.00;0.60;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.3;151.00;wu_ns_to_ko.3;0;1398.55;1.04;0.00;29.88;car;;1;15.00
299.00;23156030#6_0;109.07;10.85;56.00;2.77;23687583_0;5.10;0.00;tripinfo_wu_as_to_od.0;243.00;wu_as_to_od.0;0;2357.31;1.07;0.00;44.45;car;;1;15.00
