tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
109.00;28706217_0;94.10;6.68;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;87.00;wu_os_to_sl.0;0;484.95;0.88;0.00;31.72;car;;1;22.00
111.00;45494495_0;58.90;10.04;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;101.00;wu_od_to_os.0;0;969.96;0.95;0.00;8.43;car;;0;0.00
112.00;23156030#6_0;109.07;9.37;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;102.00;wu_os_to_od.0;0;865.51;0.85;0.00;10.56;car;;0;0.00
142.00;28716808#1_0;754.74;10.07;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;132.00;wu_as_to_kl.0;0;1207.92;0.97;0.00;18.46;car;;0;0.00
146.00;41899283#1_0;148.70;11.23;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;137.00;wu_ba_to_as.0;0;1430.78;1.09;0.00;17.99;car;;1;3.00
153.00;972103805_0;116.86;11.16;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;109.00;wu_as_to_ko.0;0;1102.39;1.01;0.00;10.04;car;;0;0.00
156.00;45494495_0;58.90;10.56;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;98.00;wu_od_to_os.2;0;969.96;1.05;0.00;14.71;car;;0;0.00
159.00;23156030#6_0;109.07;8.90;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;103.00;wu_os_to_od.1;0;865.51;0.84;0.00;8.92;car;;0;0.00
161.00;45494495_0;58.90;8.83;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;115.00;wu_od_to_os.1;0;969.96;0.87;0.00;14.35;car;;1;1.00
163.00;230845886_0;633.12;10.31;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;150.00;wu_as_to_ba.0;0;1356.50;0.94;0.00;20.06;car;;0;0.00
167.00;972103805_0;116.86;9.83;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;153.00;wu_ns_to_ko.0;0;1398.55;0.91;0.00;13.40;car;;0;0.00
174.00;230845886_0;633.12;10.51;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;147.00;wu_as_to_ba.1;0;1356.50;0.97;0.00;20.61;car;;1;6.00
187.00;41899283#1_0;148.70;11.83;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;168.00;wu_os_to_as.0;0;1746.47;1.10;0.00;24.56;car;;1;6.00
197.00;45494495_0;58.90;11.68;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;86.00;wu_od_to_os.4;0;969.96;1.12;0.00;8.10;car;;0;0.00
211.00;41899283#1_0;148.70;10.22;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;186.00;wu_os_to_as.1;0;1746.47;0.98;0.00;24.42;car;;1;5.00
212.00;23527526_0;253.75;9.80;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;200.00;wu_ba_to_gj.0;0;1755.68;0.89;0.00;21.01;car;;1;1.00
214.00;45494495_0;58.90;8.56;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;110.00;wu_od_to_os.3;0;969.96;0.88;0.00;9.68;car;;0;0.00
215.00;45494495_0;58.90;10.14;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;174.00;wu_as_to_os.1;0;1689.77;1.14;0.00;40.09;car;;0;0.00
216.00;230845886_0;633.12;10.32;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;136.00;wu_as_to_ba.2;0;1356.50;0.97;0.00;10.13;car;;0;0.00
220.00;45494495_0;58.90;8.15;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;217.00;wu_as_to_os.0;0;1689.77;0.78;0.00;22.74;car;;0;0.00
223.00;972103805_0;116.86;9.98;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;157.00;wu_ns_to_ko.1;0;1398.55;0.96;0.00;25.93;car;;2;6.00
229.00;23142338#2_0;290.21;9.57;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;222.00;wu_as_to_ns.0;0;1995.73;0.93;0.00;26.36;car;;1;5.00
233.00;230845886_0;633.12;10.51;1.00;0.21;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.0;232.00;wu_od_to_ba.0;0;2382.14;1.01;0.00;17.26;car;;0;0.00
234.00;972103805_0;116.86;11.59;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;103.00;wu_as_to_ko.1;0;1102.39;1.06;0.00;9.30;car;;0;0.00
239.00;23527526_0;253.75;10.53;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;234.00;wu_ns_to_gj.0;0;2084.96;0.99;0.00;43.68;car;;3;17.00
