tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
117.00;45494495_0;58.90;9.76;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;107.00;wu_od_to_os.0;0;969.96;0.89;0.00;8.33;car;;0;0.00
126.00;23156030#6_0;109.07;7.94;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;116.00;wu_os_to_od.0;0;865.51;0.82;0.00;20.84;car;;1;9.00
127.00;28706217_0;94.10;7.00;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;105.00;wu_os_to_sl.0;0;484.95;0.91;0.00;51.32;car;;1;41.00
130.00;45494495_0;58.90;13.29;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;84.00;wu_od_to_os.1;0;969.96;1.21;0.00;10.93;car;;0;0.00
133.00;28716808#1_0;754.74;10.77;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;123.00;wu_as_to_kl.0;0;1207.92;1.08;0.00;21.63;car;;1;6.00
137.00;972103805_0;116.86;12.68;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;93.00;wu_as_to_ko.0;0;1102.39;1.17;0.00;7.87;car;;0;0.00
140.00;23156030#6_0;109.07;11.02;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;84.00;wu_os_to_od.1;0;865.51;1.01;0.00;6.30;car;;0;0.00
153.00;972103805_0;116.86;10.64;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;139.00;wu_ns_to_ko.0;0;1398.55;0.98;0.00;10.45;car;;0;0.00
156.00;45494495_0;58.90;10.53;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;98.00;wu_od_to_os.2;0;969.96;0.98;0.00;8.48;car;;0;0.00
159.00;230845886_0;633.12;10.16;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;146.00;wu_as_to_ba.0;0;1356.50;0.95;0.00;16.85;car;;1;4.00
165.00;41899283#1_0;148.70;9.72;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;156.00;wu_ba_to_as.0;0;1430.78;0.90;0.00;12.23;car;;0;0.00
171.00;230845886_0;633.12;9.87;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;144.00;wu_as_to_ba.1;0;1356.50;1.00;0.00;21.19;car;;1;9.00
191.00;23527526_0;253.75;10.46;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;179.00;wu_ba_to_gj.0;0;1755.68;1.00;0.00;20.12;car;;0;0.00
199.00;45494495_0;58.90;8.79;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;196.00;wu_as_to_os.0;0;1689.77;0.88;0.00;23.45;car;;1;6.00
203.00;45494495_0;58.90;10.89;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;99.00;wu_od_to_os.3;0;969.96;1.02;0.00;12.79;car;;0;0.00
206.00;41899283#1_0;148.70;11.60;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;181.00;wu_os_to_as.1;0;1746.47;1.06;0.00;31.71;car;;0;0.00
206.00;45494495_0;58.90;11.59;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;165.00;wu_as_to_os.1;0;1689.77;1.09;0.00;24.83;car;;0;0.00
208.00;230845886_0;633.12;11.18;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;128.00;wu_as_to_ba.2;0;1356.50;1.10;0.00;16.44;car;;1;3.00
208.00;45494495_0;58.90;10.25;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;97.00;wu_od_to_os.4;0;969.96;0.99;0.00;8.21;car;;0;0.00
217.00;41899283#1_0;148.70;9.57;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;198.00;wu_os_to_as.0;0;1746.47;0.86;0.00;14.50;car;;0;0.00
217.00;972103805_0;116.86;10.85;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;151.00;wu_ns_to_ko.1;0;1398.55;1.09;0.00;35.36;car;;1;2.00
223.00;23142338#2_0;290.21;11.01;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;195.00;wu_od_to_ns.0;0;1928.29;1.04;0.00;17.18;car;;0;0.00
230.00;972103805_0;116.86;11.67;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;99.00;wu_as_to_ko.1;0;1102.39;1.12;0.00;10.00;car;;0;0.00
242.00;23142338#2_0;290.21;8.57;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;235.00;wu_as_to_ns.0;0;1995.73;0.87;0.00;25.50;car;;2;4.00
243.00;23142338#2_0;290.21;11.79;38.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.1;205.00;wu_as_to_ns.1;0;1995.73;1.11;0.00;42.63;car;;1;1.00
243.00;45494495_0;58.90;10.67;89.00;0.55;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.2;154.00;wu_as_to_os.2;0;1689.77;1.07;0.00;11.51;car;;0;0.00
251.00;972103805_0;116.86;10.67;32.00;0.31;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_ko.0;219.00;wu_ba_to_ko.0;0;2114.29;0.96;0.00;19.71;car;;0;0.00
255.00;972103805_0;116.86;10.60;95.00;0.16;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.2;160.00;wu_ns_to_ko.2;0;1398.55;0.97;0.00;29.69;car;;2;8.00
257.00;972103805_0;116.86;10.12;4.00;2.17;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ko.0;253.00;wu_od_to_ko.0;0;2307.67;1.00;0.00;33.44;car;;1;9.00
