tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
69.00;154917393#3_0;8.88;13.21;2.00;0.00;-1219538619_0;5.10;0.00;tripinfo_2;67.00;2;0;709.05;1.24;0.00;13.56;DEFAULT_VEHTYPE;;0;0.00
77.00;23104419#3_0;72.98;8.94;6.00;0.00;-23533358#4_0;5.10;0.00;tripinfo_6;71.00;6;0;561.80;0.87;0.00;10.40;DEFAULT_VEHTYPE;;0;0.00
78.00;-8175073#6_0;33.51;11.78;43.00;0.00;-1219538618_0;5.10;0.00;tripinfo_43;35.00;43;0;344.42;1.13;0.00;7.02;DEFAULT_VEHTYPE;;0;0.00
79.00;23533064#1_0;59.73;11.22;51.00;0.00;-34477631_0;5.10;0.00;tripinfo_51;28.00;51;0;214.24;1.08;0.00;8.38;DEFAULT_VEHTYPE;;0;0.00
87.00;34480761#2_0;79.96;9.34;31.00;0.00;1424352287#0_0;5.10;0.00;tripinfo_31;56.00;31;0;423.13;0.91;0.00;13.56;DEFAULT_VEHTYPE;;0;0.00
88.00;919428546_0;2.66;8.75;12.00;0.00;-166671248#0_0;5.10;0.00;tripinfo_12;76.00;12;0;635.53;0.86;0.00;8.68;DEFAULT_VEHTYPE;;0;0.00
90.00;-8175073#0_0;129.78;9.90;59.00;0.00;-8175073#2_0;5.10;0.00;tripinfo_59;31.00;59;0;271.76;0.93;0.00;4.64;DEFAULT_VEHTYPE;;0;0.00
96.00;-1424352287#2_0;72.56;10.71;21.00;0.00;1355914278_0;5.10;0.00;tripinfo_21;75.00;21;0;698.03;1.01;0.00;12.18;DEFAULT_VEHTYPE;;0;0.00
97.00;23533013#1_0;62.28;12.59;26.00;0.00;132270198_0;5.10;0.00;tripinfo_26;71.00;26;0;600.36;1.14;0.00;20.82;DEFAULT_VEHTYPE;;0;0.00
99.00;891997590_0;23.36;15.73;7.00;0.00;-23533381#1_0;5.10;0.00;tripinfo_7;92.00;7;0;776.95;0.98;0.00;18.90;DEFAULT_VEHTYPE;;0;0.00
99.00;-27659404#0_0;23.50;11.11;54.00;0.00;8175073#9_0;5.10;0.00;tripinfo_54;45.00;54;0;417.53;1.07;0.00;8.28;DEFAULT_VEHTYPE;;0;0.00
100.00;166671257#0_0;1.22;11.28;14.00;0.00;-23533064#3_0;5.10;0.00;tripinfo_14;86.00;14;0;855.33;1.11;0.00;14.32;DEFAULT_VEHTYPE;;0;0.00
101.00;-8175078#3_0;36.41;9.52;37.00;0.00;-309968534_0;5.10;0.00;tripinfo_37;64.00;37;0;513.78;0.92;0.00;11.88;DEFAULT_VEHTYPE;;0;0.00
104.00;307625220_0;16.29;5.44;101.00;0.00;307625220_0;5.10;0.00;tripinfo_101;3.00;101;0;11.19;0.90;0.00;1.86;DEFAULT_VEHTYPE;;0;0.00
109.00;-401253640#1_0;15.38;9.12;58.00;0.00;310249116#0_0;5.10;0.00;tripinfo_58;51.00;58;0;380.60;0.87;0.00;9.66;DEFAULT_VEHTYPE;;0;0.00
112.00;310249116#0_0;14.00;9.89;33.00;0.00;-27659404#2_0;5.10;0.00;tripinfo_33;79.00;33;0;614.70;1.11;0.00;16.98;DEFAULT_VEHTYPE;;0;0.00
114.00;-23533358#8_0;23.99;7.87;1.00;0.00;307625216#0_0;5.10;0.00;tripinfo_1;113.00;1;0;739.76;0.81;0.00;27.19;DEFAULT_VEHTYPE;;1;7.00
114.00;-27659404#0_0;23.50;9.72;16.00;0.00;27659282#3_0;5.10;0.00;tripinfo_16;98.00;16;0;764.53;0.94;0.00;21.43;DEFAULT_VEHTYPE;;1;3.00
116.00;-8175078#2_0;23.23;10.02;91.00;0.00;1219538618_0;5.10;0.00;tripinfo_91;25.00;91;0;192.45;0.93;0.00;4.92;DEFAULT_VEHTYPE;;0;0.00
120.00;307625216#0_0;11.49;12.01;0.00;0.00;23118835_0;5.10;0.00;tripinfo_0;120.00;0;0;1353.37;1.15;0.00;13.96;DEFAULT_VEHTYPE;;0;0.00
123.00;-308578163#1_0;34.15;10.00;41.00;0.00;132270198_0;5.10;0.00;tripinfo_41;82.00;41;0;637.91;0.99;0.00;20.95;DEFAULT_VEHTYPE;;1;4.00
124.00;919747357_0;0.20;5.94;56.00;0.00;-81180677#1_0;5.10;0.00;tripinfo_56;68.00;56;0;287.98;1.02;0.00;41.49;DEFAULT_VEHTYPE;;2;27.00
126.00;154917393#5_0;15.64;9.31;117.00;0.00;154917393#3_0;5.10;0.00;tripinfo_117;9.00;117;0;48.75;0.92;0.00;3.11;DEFAULT_VEHTYPE;;0;0.00
127.00;955486922_0;15.15;8.57;22.00;0.00;31518627#0_0;5.10;0.00;tripinfo_22;105.00;22;0;718.33;0.79;0.00;19.45;DEFAULT_VEHTYPE;;1;2.00
127.00;307625228#1_0;16.52;10.71;24.00;0.00;308578163#0_0;5.10;0.00;tripinfo_24;103.00;24;0;952.27;1.09;0.00;22.73;DEFAULT_VEHTYPE;;1;7.00
129.00;-23533064#1_0;59.74;11.04;75.00;0.00;1355914277#0_0;2.84;0.00;tripinfo_75;54.00;75;0;535.09;1.05;0.00;6.30;DEFAULT_VEHTYPE;;0;0.00
129.00;309609362_0;21.61;7.63;77.00;0.00;919747349_0;0.20;0.00;tripinfo_77;52.00;77;0;226.96;0.99;0.00;26.45;DEFAULT_VEHTYPE;;1;17.00
131.00;27659282#2_0;61.24;10.56;4.00;0.00;308578163#1_0;5.10;0.00;tripinfo_4;127.00;4;0;1039.94;0.99;0.00;30.55;DEFAULT_VEHTYPE;;2;7.00
133.00;8175073#1_0;59.38;10.51;55.00;0.00;-8175073#5_0;5.10;0.00;tripinfo_55;78.00;55;0;415.05;0.96;0.00;37.80;DEFAULT_VEHTYPE;;1;27.00
